28/ఆ1/1	60671
28/ఆ1/2	60671
28/ఆ3/2	4018
28/ఆ4	1056
28/ఆ5	399
28/ఆ6/1	1040
28/ఆ6/2	60209
28/ఇ1	1034
28/ఇ3	529
28/ఇ4/1	56
28/ఇ4/2	60724
29/10/1	1479
29/10/2	60308
29/10/3	60309
29/10/4	60310
29/4	1480
29/అ1/1	56
29/అ1/2	60801
30/అ	610
30/ఆ	610
30/ఇ1	60532
30/ఇ4/1	60532
30/ఇ4/2	60531
31/అ1	1374
31/అ2	54
31/ఆ1	1090
31/ఇ	1090
31/ఈ	611
32/1	134
32/అ/1	1090
32/ఆ1/2	4019
32/ఆ2	1090
32ఇ	60247
32/ఇ2	1335
32/ఇ3	60247
32/ఇ4	722
32/ఈ	722
32/ఈ1	60840
32/ఈ2/1	60274
32/ఈ2/2	1161
32/ఉ	401
32/ఉ2	239
32/రు	60339
33	60490
33/1	654
33/అ1	530
33/అ2	530
33ఆ	60247
33/ఆ1/2	530
33/ఆ2	530
33ఆ2	60247
33/ఇ/2	4019
33/ఉ	530
33/ఉ1	530
33/ఉ/1/1	1161
33/ఉ/1/2	1161
34/అ-1/1	950
34/ఆ1	1092
34/ఆ2	1092
34/ఇ2/2	950
34/ఈ/1	1256
34/ఈ/2	60519
35/అ1	1949
35/అ2	675
35/ఆ1	1007
35/ఆ2	1006
35/ఆ3	1484
36/అ4	2000
36/ఆ1	2000
36/ఆ2	2000
36/ఆ3	2000
36/ఆ4	2001
36/ఇ1	858
36/ఇ4	858
37/1	654
37/అ	60342
37/ఆ	60342
37/ఈ1	530
37/ఈ3	1001
37/ఉ2	239
38	1001
38/1	2400
38/2/1	1001
38/2/2	246
38/అ	60342
38/ఆ	1485
38/ఆ1	239
39	239
39/1	2400
39/అ1	403
39/ఆ2	865
39/ఆ4	865
39/ఇ1	239
39/ఇ/1/1	401
39/ఇ/1/2	691
39/ఇ2	865
39/ఇ/2	60343
39/ఉ/1	401
39/ఉ/2	4007
39/ఊ1	1485
39/ఊ2	1485
39/ఊ3	1101
39/ఊ4	1001
40/2	1222
40/అ/1	60569
40/అ/2	60570
40/అ/3	60571
40/ఆ	59
40/ఇ	478
40/ఈ	366
40/ఉ	157
40/ఊ/1/1	401
40/ఊ/1/2	366
40/ఊ/2	4007
40/రు	1242
40/రు-1	59
40/రూ	1485
40/రూ1/1అ	2003
40/రూ1/1అ1	246
41	332
41/1	332
41/2	60814
41/3	1101
41/4	1101
41/5	172
41/6/1	60337
41/6/2	8053
41/అ1	239
41/అ3	157
41/ఆ1	348
41/ఆ2/1/1	60237
41/ఆ2/1/2	60236
41/ఆ2/2	60235
41/ఆ3	348
41/ఆ4	403
41/ఆ5	403
41ఆ7	292
41/ఆ8	884
41/ఈ1	1090
41/ఈ/1	1145
41/ఈ/2	60822
41/ఉ1	1487
41/ఊ	59
41/ఊ1	1487
41/రూ4/2	348
42	332
42/1	60180
42/1/1/2	1860
42/1/1/3	325
42/5	172
42/అ	62
42/అ1/1/1	60248
42/అ1/1/2	1860
42/అ1/2	1860
42/అ1/3	1861
42/ఇ	60470
42/ఉ2	1487
42/రు	974
42/లు	974
43	62
43/1	60180
43/6	1545
43/అ1	974
43/అ2	974
43/అ3	974
43/అ5	479
43/ఆ1	2033
43/ఇ	60470
43/ఈ2	2033
44	1053
44/2	1054
44/3	1390
44/4/1	1249
44/4/2/1/1	698
44/4/2/1/2	60782
44/4/2/2	60781
44/5	796
44/6/1/1	60418
44/6/1/2	60417
44/6/2	60405
44/8/2	8001
44/9/1	60792
44/9/2	60793
44/అ	330
44/ఆ	1150
44/ఆ/2	60470
44/ఈ/1	1051
44/ఈ/2	1153
44/ఈ/3	684
44/ఉ1	684
44/ఉ2/1/1	1153
44/ఉ2/1/2	60734
44/ఉ2/2	60727
44/ఊ	684
44/రు/1	1051
44/రు/2	684
