586/లు/2	60725
509/ఇ1	1986
461/ఇ1	1965
457/ఈ3	60776
426	1947
588/ఈ3	2049
546/రు/1	1481
562/8	968
362/5/1	134
551/రు3	698
514/అ/1/1	1121
471/అ2/1/1	392
420/ఆ2/1	263
602/అ2	651
520/ఈ	936
585/ఈ2	1608
553/ఆ2/1	2713
542/21/2	60459
525/ఆ/1	164
555/అ3	338
565/అ1	1510
519/అ-1	1430
543	362
558/ఈ1	60773
526/ఆ2/4	60579
586/ఆ/1	2210
468/అ1	60776
551/ఆ2	267
468/అ3	1964
359/అ2	509
565/ఉ2	1510
355/అ2	991
508/అ7	60497
561/అ1	3502
367/ఆ/1/2	60237
568/ఆ1	373
359/ఆ1	459
367/ఆ5/1	106
446/అ1	468
531/అ/1	178
485/ఉ2	526
540/3	527
556/ఉ/2/1	843
380/అ	60282
355/1	1310
605/1/1	60392
471/ఇ1	60156
540/1/3	362
355	1498
451/1/1/2	60627
339/ఆ3/2	60023
590/ఆ5	1131
489/ఉ-1	1431
396/అ	555
511/4	1866
439/5	1945
471/అ	1325
502/అ/1	28
528/ఉ3	1996
466/ఉ1	60018
539/3	2005
520/ఆ7	1511
430/అ	60210
351/అ3/1	1872
528/ఆ/2	1312
459/అ2	392
545/అ2	60705
561	1475
540-2	437
519/1	220
484/అ-1	60510
461/అ	1325
472/ఇ4	60415
337/ఈ3	1871
552/2/1	60277
400	38
551/ఉ2	2017
360/ఈ2	60486
577/అ-1	1973
420/ఆ1/1	728
518/ఉ/1	2718
577/ఇ	1078
468/అ11/2	60521
570/అ3	2110
519/ఈ2	60582
591/A2	12311
592/ఉ/2	60634
393/అ/ఇ4	531
459/ఈ3	1964
369	1896
546/ఆ/4	2021
592/అ3/3/2	335
592/ఊ	190
485/ఇ-11	2708
361/4/1	134
526/ఆ2/1	946
461/అ3	1964
530/4	1356
354/5-1/2	60300
576/ఆ4	1081
482/ఈ/2	537
558/అ5	60395
528/అ2	472
551/ఊ2	698
534/1	291
450/1	351
351/అ3/2	580
471/ఈ2	714
339/అ2/2	60735
594/A	12311
604/ఆ2	651
523/అ-2	2598
339/ఆ3/1	60022
471/ఇ2	221
523/అ3	724
361/అ1	1202
360/అ1/3	60208
459/ఊ1	116
459/ఊ2	60776
434/ఆ1	1873
484/ఇ2	60510
344/1	1524
340	31
580/2	4640
361	1285
534/4	1356
571/అ2	60588
575/ఇ2	1608
562/ఆ4	21
569/ఇ	1198
353/ఉ3	60138
600	651
586/లు/3	60726
518/ఉ	1430
360/ఆ	167
591/ఆ2/2	369
457/ఈ5	470
468/అ9	60156
594/అ/1	60674
527/అ1	2211
582/అ1	56
392/ఆ6	60355
492/ఆ/2	60492
383/2/1/1/1	2721
456/ఇ1	60187
535/ఆ2	2001
339/అ3	224
360/అ1/4	2741
384/2	60343
351/ఇ2/2	412
487/ఈ/2	537
508/ఆ3	60153
372/ఆ3/1	1342
390/అ	1033
466/ఏ1	365
483/ఈ/2	537
577/ఆ/1	56
547/ఆ/1	2022
465/ఆ2/1	60255
378	249
502/అ/2	723
378/అ/1	1847
552/అ2	1481
531/6	722
380/ఆ	249
596/ఆ9	738
417/ఆ/2	2200
390/ఆ3	1854
461/ఆ5	60776
489/అ2	60582
586/ఈ/2	2638
552/ఆ2	267
529/అ	1834
452/అ	1958
556/2/1	60306
370/అ	1896
420/ఆ8	1503
569/అ1/1	1026
389/ఇ/2	1086
542/29	2013
422/2	1946
407/ఆ/2	371
338/ఆ	31
592/ఈ4	1298
540/ఆ	14
565/ఆ	1509
553/అ3	2730
537/అ2	60403
581/ఈ2/2	1198
430/ఆ1/1	2722
465/అ2	1968
586/రు2	742
560/అ3	60279
374/ఆ3	60711
492	178
457/ఇ1	60018
339/అ7	32
450/ఈ	2642
548/ఇ1	77
472/ఆ6	1964
577/ఆ1/2	2611
543/ఈ	1510
483/ఆ/1	60014
556/అ2-1/2	60298
560/ఇ	60404
360/ఈ	459
472/ఈ/2	1965
553/అ4	2655
359/ఉ2/1	60486
513/అ/2	2
577/ఆ2/2	1081
520/ఆ6	60379
485/అ1/1	60506
520/ఆ3/2	60223
589/ఆ1	2589
488/అ1	60582
550/ఆ3	1000
414	263
465/ఆ-2/1	60255
485/ఉ5	630
592/అ4	1131
558/అ4	60395
523/ఆ	724
547/అ1	77
472/అ2/2	365
353/ఆ/1	1309
569/అ7/2/1	60508
552/ఈ3/1/2	60686
550/ఆ2	999
529/ఇ	1994
583/ఈ8	60182
454/ఆ/2	60554
589/ఇ3	1430
596/ఆ4	9
586/ఈ1	2045
591/అ2/2	60285
538/5/2	60365
430/ఆ2	2766
391/ఆ1/1	2749
582/6/1	1633
508/అ4/2	2755
586/ఇ3/1	419
511/6/1	60463
469/ఆ3	273
591/అ1/2	268
410/1	1945
509/ఆ/2	60497
362/4	134
557/2/1/1/2	60694
555/ఇ	2034
404/2	1451
552/ఈ3/2	60277
542/21/1	60458
461/ఇ	1964
605/4	916
482/ఈ/1	2049
521/అ1/2	60427
551/లూ/1	2601
439	263
391/అ4	1854
548/అ2	2022
574/అ1	2058
466/ఈ5-1	60290
419/2/1/1	2200
468/అ5	365
347/అ	40
555/2/1	2530
353/ఈ1	35
392/ఆ3	1086
391/ఆ2/1	263
485/ఇ1/2	1973
507/3	355
392/ఆ2/1	1544
361/4/2	134
576/అ-2	1428
588/ఆ/3	112
417/ఆ	728
